service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
214173003,1,1,1,1,1,0,0,20200504,20200508
212913604,0,0,0,0,0,0,1,20200509,20200510
211334051,1,1,1,1,1,0,0,20200511,20200515
202689500,0,0,0,0,0,1,0,20200516,20200516
202690600,0,0,0,0,0,0,1,20200517,20200517
212336092,1,1,1,1,1,0,0,20200504,20200508
212820699,0,0,0,0,0,0,1,20200509,20200510
211358051,1,1,1,1,1,0,0,20200511,20200515
206267500,0,0,0,0,0,1,0,20200516,20200516
206788600,0,0,0,0,0,0,1,20200517,20200517
212335092,1,1,1,1,1,0,0,20200504,20200508
212864699,0,0,0,0,0,0,1,20200509,20200510
211001050,1,1,1,1,1,0,0,20200511,20200515
206268500,0,0,0,0,0,1,0,20200516,20200516
206787600,0,0,0,0,0,0,1,20200517,20200517
212099098,1,1,1,1,1,0,0,20200504,20200508
212823690,0,0,0,0,0,0,1,20200509,20200510
211450052,1,1,1,1,1,0,0,20200511,20200515
206269500,0,0,0,0,0,1,0,20200516,20200516
206786600,0,0,0,0,0,0,1,20200517,20200517
212221097,1,1,1,1,1,0,0,20200504,20200508
212783699,0,0,0,0,0,0,1,20200509,20200510
211457051,1,1,1,1,1,0,0,20200511,20200515
205302500,0,0,0,0,0,1,0,20200516,20200516
205248600,0,0,0,0,0,0,1,20200517,20200517
212061098,1,1,1,1,1,0,0,20200504,20200508
212766699,0,0,0,0,0,0,1,20200509,20200510
210416050,1,1,1,1,1,0,0,20200511,20200515
205261500,0,0,0,0,0,1,0,20200516,20200516
205241600,0,0,0,0,0,0,1,20200517,20200517
212204098,1,1,1,1,1,0,0,20200504,20200508
212767699,0,0,0,0,0,0,1,20200509,20200510
210417050,1,1,1,1,1,0,0,20200511,20200515
205264500,0,0,0,0,0,1,0,20200516,20200516
205243600,0,0,0,0,0,0,1,20200517,20200517
212342001,1,1,1,1,1,0,0,20200504,20200508
212860699,0,0,0,0,0,0,1,20200509,20200510
211451051,1,1,1,1,1,0,0,20200511,20200515
206270500,0,0,0,0,0,1,0,20200516,20200516
206785600,0,0,0,0,0,0,1,20200517,20200517
212327092,1,1,1,1,1,0,0,20200504,20200508
212826690,0,0,0,0,0,0,1,20200509,20200510
211459051,1,1,1,1,1,0,0,20200511,20200515
204993500,0,0,0,0,0,1,0,20200516,20200516
204992600,0,0,0,0,0,0,1,20200517,20200517
212101098,1,1,1,1,1,0,0,20200504,20200508
212805699,0,0,0,0,0,0,1,20200509,20200510
210800050,1,1,1,1,1,0,0,20200511,20200515
205735500,0,0,0,0,0,1,0,20200516,20200516
205734600,0,0,0,0,0,0,1,20200517,20200517
212231098,1,1,1,1,1,0,0,20200504,20200508
212834699,0,0,0,0,0,0,1,20200509,20200510
210427050,1,1,1,1,1,0,0,20200511,20200515
205425500,0,0,0,0,0,1,0,20200516,20200516
205330600,0,0,0,0,0,0,1,20200517,20200517
212030098,1,1,1,1,1,0,0,20200504,20200508
212819699,0,0,0,0,0,0,1,20200509,20200510
211461051,1,1,1,1,1,0,0,20200511,20200515
205303500,0,0,0,0,0,1,0,20200516,20200516
205249600,0,0,0,0,0,0,1,20200517,20200517
212034098,1,1,1,1,1,0,0,20200504,20200508
212784699,0,0,0,0,0,0,1,20200509,20200510
211339051,1,1,1,1,1,0,0,20200511,20200515
205304500,0,0,0,0,0,1,0,20200516,20200516
205250600,0,0,0,0,0,0,1,20200517,20200517
212340098,1,1,1,1,1,0,0,20200504,20200508
212816699,0,0,0,0,0,0,1,20200509,20200510
210774050,1,1,1,1,1,0,0,20200511,20200515
205305500,0,0,0,0,0,1,0,20200516,20200516
205251600,0,0,0,0,0,0,1,20200517,20200517
212344098,1,1,1,1,1,0,0,20200504,20200508
212815699,0,0,0,0,0,0,1,20200509,20200510
211310052,1,1,1,1,1,0,0,20200511,20200515
206082501,0,0,0,0,0,1,0,20200516,20200516
205738600,0,0,0,0,0,0,1,20200517,20200517
212065098,1,1,1,1,1,0,0,20200504,20200508
212888699,0,0,0,0,0,0,1,20200509,20200510
211468053,1,1,1,1,1,0,0,20200511,20200515
205554500,0,0,0,0,0,1,0,20200516,20200516
205552600,0,0,0,0,0,0,1,20200517,20200517
212385094,1,1,1,1,1,0,0,20200504,20200508
212895694,0,0,0,0,0,0,1,20200509,20200510
211200071,1,1,1,1,1,0,0,20200511,20200515
214246509,0,0,0,0,0,1,0,20200516,20200516
211080605,0,0,0,0,0,0,1,20200517,20200517
212398095,1,1,1,1,1,0,0,20200504,20200508
212907695,0,0,0,0,0,0,1,20200509,20200510
211218070,1,1,1,1,1,0,0,20200511,20200515
214178506,0,0,0,0,0,1,0,20200516,20200516
211038603,0,0,0,0,0,0,1,20200517,20200517
212383095,1,1,1,1,1,0,0,20200504,20200508
212894695,0,0,0,0,0,0,1,20200509,20200510
211472073,1,1,1,1,1,0,0,20200511,20200515
214180508,0,0,0,0,0,1,0,20200516,20200516
210402603,0,0,0,0,0,0,1,20200517,20200517
212394092,1,1,1,1,1,0,0,20200504,20200508
212898695,0,0,0,0,0,0,1,20200509,20200510
211194072,1,1,1,1,1,0,0,20200511,20200515
214248508,0,0,0,0,0,1,0,20200516,20200516
208209603,0,0,0,0,0,0,1,20200517,20200517
212389093,1,1,1,1,1,0,0,20200504,20200508
212901693,0,0,0,0,0,0,1,20200509,20200510
211355070,1,1,1,1,1,0,0,20200511,20200515
208550502,0,0,0,0,0,1,0,20200516,20200516
208547602,0,0,0,0,0,0,1,20200517,20200517
