route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2,1,"GARE DE L'OUEST - STOCKEL",,1,,C4008F,FFFFFF
4,2,"SIMONIS - ELISABETH",,1,,F57000,FFFFFF
5,3,"ESPLANADE - CHURCHILL",,0,,B5BA05,000000
8,4,"GARE DU NORD - STALLE (P)",,0,,F25482,000000
1,5,"ERASME - HERRMANN-DEBROUX",,1,,E6B012,FFFFFF
3,6,"ROI BAUDOUIN - ELISABETH",,1,,0078AD,FFFFFF
6,7,"VANDERKINDERE - HEYSEL",,0,,ECE354,000000
9,8,"LOUISE - ROODEBEEK",,0,,0098D4,FFFFFF
10,9,"SIMONIS - ARBRE BALLON",,0,,CD5599,FFFFFF
57,12,"BRUSSELS AIRPORT - BRUSSELS CITY",,3,,338C26,FFFFFF
23,13,"ETANGS NOIRS - UZ-VUB",,3,,9EBFE3,000000
24,14,"HEYSEL - GARE DU NORD",,3,,FF9EC2,000000
41,17,"BEAULIEU - HEILIGENBORRE",,3,,DE3B21,FFFFFF
11,19,"GROOT-BIJGAARDEN - DE WAND",,0,,DE3B21,FFFFFF
25,20,"HUNDERENVELD - GARE DU NORD",,3,,E3BA12,000000
58,21,"MAES - LUXEMBOURG",,3,,F7E017,000000
14,25,"BOONDAEL GARE - ROGIER",,0,,991F36,FFFFFF
42,27,"GARE DU MIDI - PLEIADES",,3,,9EBFE3,000000
43,28,"BRABANCONNE - KONKEL",,3,,DE3B21,FFFFFF
59,29,"DE BROUCKERE - HOF TEN BERG",,3,,E87D0D,FFFFFF
22,32,"DA VINCI - DROGENBOS CHATEAU",,0,,F7E017,000000
26,33,"DANSAERT - LOUISE",,3,,FF9EC2,000000
44,34,"PORTE DE NAMUR - SAINTE-ANNE",,3,,E3BA12,000000
45,36,"SCHUMAN - KONKEL",,3,,9EBFE3,000000
27,37,"ALBERT - GARE DE LINKEBEEK",,3,,36578C,FFFFFF
46,38,"GARE CENTRALE - HEROS",,3,,B085B3,FFFFFF
17,39,"MONTGOMERY - BAN-EIK",,0,,DE3B21,FFFFFF
47,41,"HEROS - TRANSVAAL",,3,,9EBFE3,000000
60,42,"VIADUC E40 - ROODEBEEK",,3,,338C26,FFFFFF
28,43,"OBSERVATOIRE - VIVIER D'OIE",,3,,996308,FFFFFF
